Ticker,Debt/Capital Last Year (%),% Assets in Top 10 Holdings,3-year Annualized Return vs. S&P500,Outperform / Underperform
VFTNX,45.19,30.13,4.48,1
JCNNX,48.6,44.05,7.6099999999999985,1
PMJPX,46.75,12.57,-4.0200000000000005,0
WMICX,30.18,25.07,23.850000000000005,1
STAEX,45.5,47.94,9.69,1
RVACX,48.14,34.38,-9.25,0
THCVX,44.85,16.35,-5.9300000000000015,0
AUURX,42.23,38.33,-2.130000000000001,0
STCEX,38.54,40.16,-11.05,0
FSCDX,39.59,16.24,-2.410000000000001,0
ASDEX,42.53,57.74,8.169999999999998,1
GCCSX,40.94,19.45,-8.110000000000001,0
ACFOX,42.44,50.68,20.5,1
FFMVX,57.34,18.64,-3.4200000000000013,0
LDVAX,40.44,25.5,18.53,1
SHDPX,54.32,50.28,-4.020000000000001,0
HSMFX,40.27,19.35,-5.61,0
JGSVX,32.5,15.75,16.38,1
IJPMX,44.52,15.62,-8.520000000000001,0
HEQCX,38.41,22.53,-3.12,0
ADNRX,30.68,52.72,37.98,1
SPGIX,43.35,39.96,6.6400000000000015,1
SMDVX,40.2,18.91,-5.08,0
FLCCX,50.88,37.56,-5.25,0
TNWCX,46.88,21.39,3.049999999999999,1
SCUVX,36.87,14.54,-2.5300000000000007,0
MEGRX,40.32,43.55,7.539999999999999,1
BRSVX,46.24,16.76,-2.380000000000001,0
MMQAX,39.07,16.88,-6.99,0
VLLIX,34.18,37.07,8.879999999999997,1
IDARX,47.12,17.58,-4.110000000000001,0
ODICX,34.68,20.15,11.86,1
IYSCX,41.94,29.91,-6.41,0
MADVX,44.52,24.86,-5.370000000000001,0
APDMX,31.15,29.57,13.88,1
JPLNX,42.02,28.02,-6.800000000000002,0
AACIX,48.49,18.37,-11.03,0
GABIX,44.6,22.68,-4.830000000000001,0
RIVRX,29.36,35.1,11.11,1
RPXFX,45.99,39.29,10.06,1
AUIAX,48.83,40.45,-6.3500000000000005,0
