Ticker,ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,"Closed to New Investors (Yes=1, No=0)",3-year Annualized Return vs. S&P500,Outperform / Underperform
VFTNX,28.22,45.19,470,30.13,0,4.48,1
JCNNX,10.25,48.6,45,44.05,0,7.6099999999999985,1
PMJPX,0.62,46.75,782,12.57,0,-4.0200000000000005,0
WMICX,-6.53,30.18,75,25.07,0,23.850000000000005,1
STAEX,24.25,45.5,39,47.94,0,9.69,1
RVACX,9.32,48.14,56,34.38,0,-9.25,0
THCVX,13.3,44.85,850,16.35,0,-5.9300000000000015,0
AUURX,26.91,42.23,68,38.33,0,-2.130000000000001,0
STCEX,11.41,38.54,56,40.16,0,-11.05,0
FSCDX,10.48,39.59,142,16.24,0,-2.410000000000001,0
ASDEX,30.81,42.53,56,57.74,0,8.169999999999998,1
GCCSX,10.74,40.94,440,19.45,0,-8.110000000000001,0
ACFOX,8.57,42.44,40,50.68,0,20.5,1
FFMVX,4.97,57.34,88,18.64,0,-3.4200000000000013,0
LDVAX,22.96,40.44,142,25.5,0,18.53,1
SHDPX,4.48,54.32,28,50.28,0,-4.020000000000001,0
HSMFX,2.79,40.27,63,19.35,0,-5.61,0
JGSVX,-5.18,32.5,127,15.75,0,16.38,1
IJPMX,9.8,44.52,110,15.62,0,-8.520000000000001,0
HEQCX,18.34,38.41,102,22.53,0,-3.12,0
ADNRX,-10.36,30.68,56,52.72,0,37.98,1
SPGIX,32.62,43.35,161,39.96,0,6.6400000000000015,1
SMDVX,13.22,40.2,81,18.91,0,-5.08,0
FLCCX,19.08,50.88,175,37.56,0,-5.25,0
TNWCX,26.42,46.88,467,21.39,0,3.049999999999999,1
SCUVX,5.67,36.87,116,14.54,0,-2.5300000000000007,0
MEGRX,28.24,40.32,76,43.55,0,7.539999999999999,1
BRSVX,1.98,46.24,108,16.76,0,-2.380000000000001,0
MMQAX,2.49,39.07,128,16.88,0,-6.99,0
VLLIX,10.68,34.18,44,37.07,0,8.879999999999997,1
IDARX,23.24,47.12,66,17.58,1,-4.110000000000001,0
ODICX,5.78,34.68,115,20.15,1,11.86,1
IYSCX,0.36,41.94,64,29.91,0,-6.41,0
MADVX,11.89,44.52,95,24.86,0,-5.370000000000001,0
APDMX,-0.4,31.15,72,29.57,0,13.88,1
JPLNX,20.15,42.02,58,28.02,0,-6.800000000000002,0
AACIX,2.21,48.49,124,18.37,0,-11.03,0
GABIX,17.28,44.6,439,22.68,0,-4.830000000000001,0
RIVRX,17.97,29.36,48,35.1,0,11.11,1
RPXFX,12.96,45.99,36,39.29,0,10.06,1
AUIAX,29.25,48.83,68,40.45,0,-6.3500000000000005,0
FSVSX,5.14,39.52,87,17.49,0,-15.04,0
FAMWX,20.65,43.39,38,50.29,0,-3.770000000000002,0
SZCRX,7.01,42.89,96,24.53,0,-3.1900000000000004,0
TMMAX,26.45,45.5,174,22.66,0,-5.410000000000001,0
