Ticker,Morningstar Risk,Morningstar Sustainability Rating,3-year Mean Dividend Yield (%),% of Holdings in Cash,Price/Earnings,Price/Cash Flow,Average Market Cap ($ mil),ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,Turnover Ratio (%),Average Manager Tenure (years),Expense Ratio (%),Minimum Initial Purchase ($),Total Assets ($ mil),Outperform / Underperform,Yes,Yes
AAAGX,4,3,1.97,1.69,32.14,24.23,294701,31.56,44.55,45,55.73,58,2,1.14,2000,1768,Outperform,0,0
AACIX,5,2,0.48,3.79,12.96,6.84,8740,2.21,48.49,124,18.37,35,6,0.95,250000,195,Underperform,1,0
AADEX,4,2,0.67,1.72,15.04,10.34,57742,12.54,48.12,168,21.82,67,12,0.63,250000,4242,Underperform,1,0
AADGX,2,3,0.66,2.62,21.85,16.11,14323,26.21,40.21,51,24.66,47,5,1.08,2500,70,Underperform,1,0
AAGOX,4,2,2.38,0.22,42.08,26.35,152652,21.25,36.98,59,47.3,144,19,0.89,0,446,Outperform,1,0
AAGPX,4,2,0.64,1.72,15.04,10.34,57742,12.54,48.12,168,21.82,67,12,0.96,2500,4242,Underperform,1,0
AALRX,4,2,0.68,1.72,15.04,10.34,57742,12.54,48.12,168,21.82,67,12,0.59,0,4242,Underperform,1,0
AAMOX,5,2,2.44,4.41,41.44,27.0,4407,-5.69,43.78,53,45.56,64,3,1.03,0,4,Outperform,1,0
AASCX,4,3,1.06,2.07,16.87,12.85,12352,13.07,41.83,59,27.17,28,17,1.04,2000,2822,Underperform,0,0
AASMX,3,3,1.19,1.23,16.13,9.97,2431,8.7,37.99,94,18.13,57,7,1.14,2000,901,Outperform,0,0
AASOX,3,4,2.43,2.53,46.32,26.5,8434,-0.01,32.56,92,33.64,18,6,0.98,0,352,Outperform,1,0
AASRX,4,3,0.58,3.12,12.8,6.62,2475,5.65,39.08,640,11.91,61,11,0.79,0,5786,Underperform,1,0
AASSX,4,3,0.54,3.12,12.8,6.62,2475,5.65,39.08,640,11.91,61,11,1.25,2500,5786,Underperform,1,0
AATIX,2,3,0.81,1.48,10.72,8.9,3998,6.13,47.46,87,26.46,93,8,1.27,5000,151,Underperform,1,0
AATSX,2,3,0.83,1.48,10.72,8.9,3998,6.13,47.46,87,26.46,93,8,1.0,1500000,151,Underperform,1,0
AAUTX,4,3,0.64,1.67,13.56,9.07,73827,19.91,46.55,88,29.18,19,8,0.9,2000,1302,Underperform,0,0
AAWVX,1,4,0.81,3.96,20.63,13.48,13478,22.47,45.96,135,17.68,90,4,1.06,0,1,Underperform,0,0
ABASX,4,2,0.42,0.7,14.98,8.23,4284,5.08,41.03,101,15.39,36,8,1.12,2500,2882,Underperform,0,0
ABCAX,2,5,0.93,5.77,19.37,14.26,153064,30.55,45.8,33,43.08,21,7,1.04,2500,1523,Underperform,0,0
ABCIX,2,5,0.95,5.77,19.37,14.26,153064,30.55,45.8,33,43.08,21,7,0.75,250000,1523,Underperform,1,0
ABCRX,2,5,0.95,5.77,19.37,14.26,153064,30.55,45.8,33,43.08,21,7,0.71,0,1523,Underperform,1,0
ABCSX,4,2,0.35,0.7,14.98,8.23,4284,5.08,41.03,101,15.39,36,8,1.88,2500,2882,Underperform,0,0
ABCVX,2,5,0.93,5.77,19.37,14.26,153064,30.55,45.8,33,43.08,21,7,1.07,2500,1523,Underperform,1,0
ABCYX,2,5,0.95,5.77,19.37,14.26,153064,30.55,45.8,33,43.08,21,7,0.81,100000,1523,Underperform,1,0
ABECX,2,5,0.86,5.77,19.37,14.26,153064,30.55,45.8,33,43.08,21,7,1.81,1000,1523,Underperform,0,0
ABIZX,3,5,0.23,1.64,16.96,10.81,10046,11.0,36.8,44,35.28,50,10,0.82,5000000,514,Underperform,1,0
ABLYX,4,2,0.67,1.72,15.04,10.34,57742,12.54,48.12,168,21.82,67,12,0.7,100000,4242,Underperform,1,0
ABMAX,5,2,0.44,3.79,12.96,6.84,8740,2.21,48.49,124,18.37,35,6,1.3,2500,195,Underperform,0,0
ABMIX,4,5,0.22,1.64,16.96,10.81,10046,11.0,36.8,44,35.28,50,10,0.9,100000,514,Underperform,1,0
ABPRX,2,3,1.77,6.9,32.34,25.36,166768,31.44,33.09,53,46.37,32,7,1.25,0,15807,Outperform,0,0
ABSAX,4,3,0.55,3.12,12.8,6.62,2475,5.65,39.08,640,11.91,61,11,1.26,2500,5786,Underperform,0,0
ABSIX,4,2,0.44,0.7,14.98,8.23,4284,5.08,41.03,101,15.39,36,8,0.88,2000000,2882,Underperform,1,0
ABSKX,4,2,0.41,0.7,14.98,8.23,4284,5.08,41.03,101,15.39,36,8,1.21,0,2882,Underperform,1,0
ABSRX,4,2,0.38,0.7,14.98,8.23,4284,5.08,41.03,101,15.39,36,8,1.52,0,2882,Underperform,0,0
ABSYX,4,3,0.57,3.12,12.8,6.62,2475,5.65,39.08,640,11.91,61,11,0.89,100000,5786,Underperform,1,0
