Ticker,Morningstar Sustainability Rating,Average Market Cap ($ mil),ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,Turnover Ratio (%),Average Manager Tenure (years),Expense Ratio (%),Minimum Initial Purchase ($),Total Assets ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform,No-load Funds,Closed to New Investors
VFTNX,4,183202,28.22,45.19,470,30.13,18,5,0.12,5000000,10798,4.48,1,1,0
JCNNX,1,19870,10.25,48.6,45,44.05,68,4,0.58,1000000,3785,7.6099999999999985,1,1,0
PMJPX,4,1830,0.62,46.75,782,12.57,202,6,0.63,1000000,552,-4.0200000000000005,0,1,0
WMICX,2,1264,-6.53,30.18,75,25.07,75,10,1.66,2000,1410,23.850000000000005,1,1,0
STAEX,3,178923,24.25,45.5,39,47.94,16,8,1.02,1000,287,9.69,1,0,0
RVACX,2,7554,9.32,48.14,56,34.38,54,7,2.07,2500,313,-9.25,0,0,0
THCVX,3,61799,13.3,44.85,850,16.35,33,8,0.19,0,7756,-5.9300000000000015,0,1,0
AUURX,1,238760,26.91,42.23,68,38.33,183,7,1.8,0,194,-2.130000000000001,0,0,0
STCEX,4,4959,11.41,38.54,56,40.16,42,24,1.9,2500,494,-11.05,0,0,0
FSCDX,4,3324,10.48,39.59,142,16.24,47,3,1.22,0,1778,-2.410000000000001,0,0,0
ASDEX,3,329187,30.81,42.53,56,57.74,16,17,0.62,0,4446,8.169999999999998,1,1,0
GCCSX,2,3319,10.74,40.94,440,19.45,0,29,2.16,1000,1869,-8.110000000000001,0,0,0
ACFOX,1,97420,8.57,42.44,40,50.68,27,5,0.85,2500,2197,20.5,1,1,0
FFMVX,3,10171,4.97,57.34,88,18.64,89,4,0.0,0,35,-3.4200000000000013,0,1,0
LDVAX,4,122697,22.96,40.44,142,25.5,115,0,1.75,2500,247,18.53,1,0,0
SHDPX,3,2771,4.48,54.32,28,50.28,48,3,1.28,2500,10,-4.020000000000001,0,1,0
HSMFX,3,1844,2.79,40.27,63,19.35,62,2,0.8,1000000,106,-5.61,0,1,0
JGSVX,3,4844,-5.18,32.5,127,15.75,51,8,0.84,0,7098,16.38,1,1,0
IJPMX,4,14588,9.8,44.52,110,15.62,9,16,1.29,0,381,-8.520000000000001,0,0,0
HEQCX,2,9333,18.34,38.41,102,22.53,53,18,1.12,1000000,31,-3.12,0,1,0
ADNRX,2,28692,-10.36,30.68,56,52.72,28,4,0.96,0,1385,37.98,1,1,0
SPGIX,3,220158,32.62,43.35,161,39.96,58,3,1.11,100000,1689,6.6400000000000015,1,1,0
SMDVX,4,13829,13.22,40.2,81,18.91,53,3,1.18,2000,757,-5.08,0,0,0
FLCCX,1,97490,19.08,50.88,175,37.56,22,15,1.52,0,901,-5.25,0,0,0
TNWCX,4,86901,26.42,46.88,467,21.39,27,6,0.32,2000000,599,3.049999999999999,1,1,0
SCUVX,3,3219,5.67,36.87,116,14.54,53,3,1.18,2000,301,-2.5300000000000007,0,0,0
MEGRX,4,226023,28.24,40.32,76,43.55,11,11,1.15,0,40877,7.539999999999999,1,0,0
BRSVX,3,1064,1.98,46.24,108,16.76,87,16,0.94,2000,48,-2.380000000000001,0,1,0
MMQAX,2,2456,2.49,39.07,128,16.88,77,7,1.6,0,93,-6.99,0,0,0
VLLIX,2,106901,10.68,34.18,44,37.07,29,7,0.9,100000,409,8.879999999999997,1,1,0
IDARX,3,44692,23.24,47.12,66,17.58,40,3,1.19,0,410,-4.110000000000001,0,0,1
ODICX,3,5248,5.78,34.68,115,20.15,76,11,1.82,1000,4336,11.86,1,0,1
IYSCX,4,4089,0.36,41.94,64,29.91,138,6,2.1,750,677,-6.41,0,0,0
MADVX,2,76534,11.89,44.52,95,24.86,40,4,0.7,2000000,18400,-5.370000000000001,0,1,0
APDMX,4,22417,-0.4,31.15,72,29.57,45,12,1.05,250000,7802,13.88,1,1,0
JPLNX,2,48235,20.15,42.02,58,28.02,49,12,0.64,1000000,96,-6.800000000000002,0,1,0
AACIX,2,8740,2.21,48.49,124,18.37,35,6,0.95,250000,195,-11.03,0,1,0
GABIX,2,23001,17.28,44.6,439,22.68,4,10,1.11,500000,2103,-4.830000000000001,0,1,0
RIVRX,5,40724,17.97,29.36,48,35.1,15,8,1.21,2500,263,11.11,1,1,0
RPXFX,2,131714,12.96,45.99,36,39.29,53,10,1.23,1000,78,10.06,1,1,0
AUIAX,4,125398,29.25,48.83,68,40.45,43,3,0.99,2500,491,-6.3500000000000005,0,0,0
FSVSX,2,2348,5.14,39.52,87,17.49,30,10,1.45,0,835,-15.04,0,0,0
FAMWX,4,26217,20.65,43.39,38,50.29,7,19,0.99,500000,1430,-3.770000000000002,0,1,0
SZCRX,4,1751,7.01,42.89,96,24.53,15,5,0.79,0,351,-3.1900000000000004,0,1,0
TMMAX,3,62324,26.45,45.5,174,22.66,27,10,1.0,100000,964,-5.410000000000001,0,1,0
TRMCX,2,10983,5.41,41.93,97,23.29,32,20,0.78,2500,13495,-6.200000000000001,0,1,0
JPFRX,3,140442,27.34,45.23,41,40.37,44,7,0.6,15000000,111,2.77,1,1,0
HIBUX,3,3376,12.38,38.13,73,23.11,29,11,1.06,1000,138,-8.600000000000001,0,1,0
FMVQX,3,11401,9.89,43.17,73,20.43,56,9,0.78,1000000,344,-7.250000000000001,0,1,0
HMIAX,1,365,2.64,28.27,121,13.63,112,3,1.61,1000,13,-17.66,0,1,0
HSZCX,3,1792,7.82,53.93,67,23.73,15,6,3.08,1000,14,-33.05,0,0,0
NSMRX,3,4346,8.15,33.08,58,27.51,58,3,1.06,100000,30,-8.270000000000001,0,1,0
JVAIX,3,42966,12.47,46.38,121,20.16,29,11,0.74,3000000,9615,-7.6400000000000015,0,1,1
JDVRX,3,89477,17.93,49.78,70,23.71,31,5,1.52,0,426,-8.850000000000003,0,0,1
PPUSX,3,173751,24.37,39.91,499,35.21,34,12,0.97,0,12476,8.75,1,1,0
DAFGX,5,182201,24.33,39.89,33,52.41,17,9,1.55,5000,174,13.43,1,0,0
IHSIX,3,4595,-3.51,34.38,120,16.59,104,8,1.0,2000,962,15.06,1,1,0
MALVX,4,63197,18.04,46.21,308,17.78,70,4,0.54,2000000,569,-6.36,0,1,0
APHLX,4,82254,13.52,46.18,41,40.65,39,7,0.82,1000000,323,-6.4,0,1,0
GRGTX,3,99528,20.4,46.54,70,26.81,42,2,0.83,0,377,-5.740000000000001,0,1,0
PSLCX,2,1099,3.29,41.64,111,15.3,108,2,1.98,0,179,-11.03,0,0,0
SZCTX,4,1751,7.01,42.89,96,24.53,15,5,1.09,1000,351,-3.8000000000000007,0,0,1
PPSNX,3,69056,15.17,43.65,866,19.96,55,12,1.46,0,2384,-7.15,0,0,1
WPLCX,3,122876,23.41,45.12,26,60.32,4,7,2.6,2000,35,-10.96,0,1,0
SVPSX,3,1274,0.58,39.13,453,7.75,624,5,3.02,15000,11,-10.3,0,0,0
PSVAX,3,2203,4.8,40.45,1601,13.19,92,12,1.45,1000,1156,-8.48,0,0,0
JBGCX,2,283691,23.98,36.48,122,48.03,28,15,1.88,1000,5000,4.18,1,0,0
LAMRX,4,117148,30.34,49.18,57,29.38,51,3,1.2,0,2845,-2.53,0,0,0
LCGRX,2,3737,2.11,33.12,100,17.11,52,16,1.19,2500,3022,7.2499999999999964,1,1,0
DLMAX,3,12457,11.97,45.5,97,18.57,43,8,1.14,1000,76,-9.4,0,0,0
SPMIX,2,6263,10.59,40.22,401,7.55,13,17,0.66,1000,120,-2.74,0,1,0
GWSVX,2,6638,1.83,54.31,38,53.98,59,9,1.71,1000,36,-10.9,0,1,0
BPSIX,4,2361,9.03,47.06,150,19.15,46,19,1.07,100000,758,-7.9300000000000015,0,1,0
DMVIX,3,2763,3.23,38.16,387,10.33,58,5,0.99,1000,546,-2.5500000000000007,0,1,0
RMFFX,4,101581,24.68,48.98,175,23.07,24,10,0.32,250,70768,-4.130000000000001,0,1,0
FRSIX,3,17088,2.16,37.87,126,18.99,53,16,1.62,1000,5241,10.779999999999998,1,0,0
MNDCX,4,4364,-1.95,38.99,121,18.02,64,7,2.03,1000,2840,12.68,1,0,0
RGSFX,1,90716,18.28,40.72,6,100.01,30,4,0.16,250,12949,2.0599999999999987,1,1,0
SSTFX,2,112200,18.38,35.31,44,49.59,4,5,2.0,2500,776,6.699999999999998,1,0,0
MMFVX,3,118460,24.13,51.41,71,37.72,41,4,1.04,0,743,-2.720000000000001,0,1,0
GSVPX,2,6090,7.49,42.65,197,10.2,76,7,0.84,0,135,-5.4700000000000015,0,1,0
PFEIX,2,2468,0.26,42.66,101,15.43,45,4,0.92,0,16,-10.22,0,1,0
GTSRX,4,6090,-2.08,39.16,126,14.9,31,10,1.42,0,4383,8.7,1,0,1
AMFCX,4,101581,24.68,48.98,175,23.07,24,10,1.34,250,70768,-6.23,0,0,0
ACSTX,1,50662,9.82,46.41,83,25.49,30,13,0.82,1000,8796,-9.59,0,0,0
BRGNX,3,132580,24.47,45.05,1025,23.99,10,4,0.13,2000000,641,2.5699999999999985,1,1,0
HPEYX,4,119719,27.98,38.99,44,46.88,642,4,1.46,0,71,-10.84,0,1,0
POGBX,4,320423,34.02,45.06,61,50.33,45,3,1.8,0,8389,8.649999999999999,1,0,1
BRWJX,3,220975,34.1,43.04,100,43.99,61,5,0.49,0,251,5.519999999999998,1,1,0
CBMCX,3,7898,11.11,39.59,50,28.61,45,14,2.0,1000,573,-7.960000000000001,0,0,0
RWMAX,2,117267,20.76,46.39,182,30.64,30,9,1.37,250,138572,-4.790000000000001,0,0,0
VCNIX,3,358605,31.8,40.73,108,53.5,8,5,0.53,0,830,13.97,1,1,0
LMBAX,3,1855,4.67,35.38,373,6.56,51,2,1.12,1000,195,-5.740000000000001,0,0,0
NEJYX,4,3680,7.06,42.78,54,31.14,61,9,1.15,100000,117,-6.120000000000001,0,1,0
DNLCX,4,15366,18.85,44.1,246,12.11,81,3,2.01,1000,441,-11.0,0,0,0
FGSRX,3,118730,26.82,41.82,135,28.99,9,6,1.06,1000,20569,4.369999999999999,1,0,0
GMHPX,3,31083,25.13,49.28,132,18.17,43,2,0.77,0,496,-3.2700000000000014,0,1,1
CSMVX,5,3324,13.18,22.74,41,34.43,44,3,1.25,2000,119,9.439999999999998,1,1,0
DEURX,5,136998,15.24,45.82,32,51.77,54,12,1.34,0,2775,5.039999999999999,1,0,0
WEIMX,1,651,4.32,35.72,378,24.08,2,8,1.18,500000,679,-6.53,0,1,0
FSSKX,2,80706,17.66,43.14,524,25.51,12,11,0.53,0,10770,2.16,1,1,0
MCFOX,4,203435,30.85,43.45,46,46.84,47,4,1.67,1000,2011,8.580000000000002,1,0,0
PEQLX,2,77240,19.73,51.57,92,25.41,12,5,0.65,0,13624,-3.8000000000000007,0,1,0
CVQZX,3,61757,18.4,47.62,96,23.52,80,4,0.87,2000,239,-9.170000000000002,0,1,0
MMERX,2,592,-2.27,42.18,146,11.18,40,7,2.08,0,80,-10.97,0,0,0
LFEIX,2,56490,14.83,46.51,73,25.74,97,6,1.38,1500,834,-9.35,0,0,0
CVAAX,3,203131,22.95,44.66,59,37.18,136,4,1.15,2500,45,-2.210000000000001,0,0,0
JDVVX,3,59415,13.45,43.73,92,26.16,88,11,0.75,0,12548,-8.420000000000002,0,1,0
CHDRX,3,108671,18.51,49.67,44,31.64,41,12,1.5,0,1064,-10.18,0,0,0
PFPRX,5,23372,20.52,38.99,46,34.07,44,6,0.68,100000,1084,2.039999999999999,1,1,0
IMOWX,4,21313,8.95,45.01,68,25.87,92,9,1.02,1000,1074,4.899999999999999,1,1,0
HDGIX,4,127421,20.81,46.77,75,29.96,28,6,0.73,2000,10896,-3.390000000000001,0,1,0
TILIX,3,250027,34.56,45.05,450,43.63,33,8,0.05,10000000,13215,10.509999999999998,1,1,0
WESWX,1,92034,17.48,42.35,47,28.72,46,5,1.63,1000,52,-6.9300000000000015,0,1,0
AMCSX,2,8740,2.21,48.49,124,18.37,35,6,1.53,2500,188,-12.15,0,1,0
BWLIX,3,38353,16.57,45.66,104,15.96,44,16,1.08,2500,955,-10.920000000000002,0,1,0
NOIEX,4,130274,36.09,52.62,133,29.4,76,3,1.02,2500,147,-2.9399999999999995,0,1,0
TSVAX,3,1441,1.75,42.61,329,9.06,53,6,1.15,1000,664,-12.23,0,0,0
PKAPX,3,64807,24.64,54.86,384,25.53,34,6,0.51,1000000,799,-4.58,0,1,0
TNVCX,2,2471,0.5,46.75,145,24.27,19,6,1.0,1000,136,-5.7200000000000015,0,0,0
ISPVX,4,4089,0.36,41.94,64,29.91,138,6,0.89,1000000,677,-3.94,0,1,0
CDORX,2,86820,21.88,51.22,82,31.4,47,2,0.75,2000,2232,-6.380000000000001,0,1,0
TCRAX,4,280056,28.23,40.35,82,53.59,33,10,1.22,2500,11932,7.789999999999999,1,0,0
APHMX,4,22417,-0.4,31.15,72,29.57,45,12,0.95,1000000,7802,14.07,1,1,0
ARSMX,4,3429,6.65,42.69,59,35.51,47,12,1.31,2000,219,-4.780000000000001,0,1,0
CSXRX,3,117286,26.35,45.92,792,25.75,10,4,0.19,1000000,3591,4.9700000000000015,1,1,0
VMGRX,4,19905,11.33,45.19,168,16.82,74,3,0.34,3000,5092,6.309999999999999,1,1,0
NBMVX,3,4756,-4.83,37.83,99,18.32,128,5,1.44,0,440,14.97,1,1,1
FOGPX,4,18850,11.21,42.17,88,20.4,66,10,0.94,5000000,166,6.4899999999999975,1,1,0
CHHRX,3,4904,-2.98,34.93,94,25.2,76,10,1.04,2000,2803,22.89,1,1,0
QSVIX,5,4377,5.02,47.32,39,46.89,117,2,1.3,25000,19,-14.73,0,1,0
DSGYX,3,4103,0.08,35.24,370,9.3,105,6,0.97,0,720,6.920000000000003,1,1,0
THCRX,3,149515,19.27,39.26,43,47.92,44,0,1.5,0,799,7.710000000000001,1,0,0
BFGIX,1,75850,-0.26,43.66,26,77.71,5,8,1.1,1000000,663,34.28999999999999,1,1,0
MLPSX,2,4166,6.39,43.64,299,10.53,322,5,2.78,15000,5,-10.5,0,0,0
