Ticker,Dividend Yield (%),Price/Earnings,Price/Cash Flow,Average Market Cap ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform
VFTNX,1.45,23.37,17.87,183202,4.48,1
JCNNX,1.8,22.7,16.71,19870,7.6099999999999985,1
PMJPX,0.68,13.47,4.15,1830,-4.0200000000000005,0
WMICX,2.78,30.72,17.52,1264,23.850000000000005,1
STAEX,2.02,34.27,24.58,178923,9.69,1
RVACX,0.51,14.79,8.02,7554,-9.25,0
THCVX,0.64,17.35,11.66,61799,-5.9300000000000015,0
AUURX,1.07,22.37,18.23,238760,-2.130000000000001,0
STCEX,0.31,18.14,12.89,4959,-11.05,0
FSCDX,0.93,16.85,9.68,3324,-2.410000000000001,0
ASDEX,1.76,32.73,24.02,329187,8.169999999999998,1
GCCSX,0.6,19.24,8.48,3319,-8.110000000000001,0
ACFOX,2.73,45.28,28.94,97420,20.5,1
FFMVX,0.84,13.79,8.0,10171,-3.4200000000000013,0
LDVAX,3.06,26.57,19.35,122697,18.53,1
SHDPX,0.85,14.7,6.08,2771,-4.020000000000001,0
HSMFX,0.69,11.79,7.93,1844,-5.61,0
JGSVX,2.37,28.5,17.17,4844,16.38,1
IJPMX,0.5,16.46,9.4,14588,-8.520000000000001,0
HEQCX,0.82,16.93,12.22,9333,-3.12,0
ADNRX,3.69,95.4,34.58,28692,37.98,1
SPGIX,1.73,29.79,22.45,220158,6.6400000000000015,1
SMDVX,0.77,20.73,15.47,13829,-5.08,0
FLCCX,0.84,16.11,11.34,97490,-5.25,0
TNWCX,1.33,21.02,15.62,86901,3.049999999999999,1
SCUVX,0.88,18.96,12.34,3219,-2.5300000000000007,0
MEGRX,1.83,36.42,27.71,226023,7.539999999999999,1
BRSVX,0.61,12.22,2.3,1064,-2.380000000000001,0
MMQAX,0.71,16.97,9.44,2456,-6.99,0
VLLIX,1.99,39.55,25.62,106901,8.879999999999997,1
IDARX,0.87,19.76,14.35,44692,-4.110000000000001,0
ODICX,2.07,35.02,22.34,5248,11.86,1
IYSCX,0.65,17.88,11.54,4089,-6.41,0
MADVX,0.72,14.48,10.16,76534,-5.370000000000001,0
APDMX,2.28,44.94,31.51,22417,13.88,1
JPLNX,0.6,17.88,11.24,48235,-6.800000000000002,0
AACIX,0.48,12.96,6.84,8740,-11.03,0
GABIX,0.82,20.67,10.04,23001,-4.830000000000001,0
RIVRX,2.01,45.09,28.01,40724,11.11,1
RPXFX,2.05,39.27,29.27,131714,10.06,1
